,시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명,소속구
1,성북구립미술관,공립,서울특별시 성북구 성북로 134,서울특별시 성북구 성북동 246,37.5948078,126.9948864,02-6925-5011,서울특별시 성북문화재단,http://sma.sbculture.or.kr,엘리베이터,10:00,18:00,10:00,18:00,월(월요일이 공휴일인 경우 그 다음날)+1월 1일+설 연휴+추석 당일,2000,1000,0,무료(장애인+국가유공자+6세 이하+65세 이상),성북구립미술관은 2009년 개관한 최초 구립미술관으로 성북구 미술 작가들의 작품과 미술작품을 전시하기 위해 건립,"한성대입구역(4호선) 6번출구에서 버스 1111, 2112, 성북03 이용 성북구립미술관 하차",02-6925-5011,성북문화재단,2023-03-02,3070000,서울특별시 성북구,성북구
2,겸재정선미술관,공립,서울특별시 강서구 양천로47길 36,,37.57222297,126.838412,02-2607-4233,강서문화원,,,10:00,18:00,10:00,17:00,월+1월1일+설추석 당일,1000,500,500,특별전시입장료-일반(1000)+특별전시입장료-초등학생(500)+특별전시입장료-청소년(500)+특별전시입장료-19~25세(1000),,,02-2607-4233,강서문화원,2023-10-10,1371000,문화체육관광부,강서구
3,서울시립미술관,공립,서울특별시 중구 덕수궁길 61,,37.56410607,126.9736993,02-2124-8800,서울시립미술관,,,10:00,20:00,10:00,18:00,"월(단, 월요일이 공휴일인 경우 개관)+1월1일",0,0,0,,,,02-2124-8800,서울시립미술관,2023-10-10,1371000,문화체육관광부,중구
4,성북구립미술관,공립,서울특별시 성북구 성북로 134,,37.5948372,126.9948871,02-6925-5011,성북구립미술관,,,10:00,18:00,10:00,18:00,일+월,0,0,0,,,,02-6925-5011,성북구립미술관,2023-10-10,1371000,문화체육관광부,성북구
5,성북구립 최만린미술관(성북구립미술관 분관),공립,서울특별시 성북구 솔샘로7길 23,,37.61065979,127.004288,02-6925-5011,성북구립미술관,,,10:00,18:00,10:00,18:00,일+월,0,0,0,,,,02-6925-5011,성북구립미술관,2023-10-10,1371000,문화체육관광부,성북구
6,성북어린이미술관 꿈자람(성북구립미술관 분관),공립,서울특별시 성북구 화랑로18자길 13,,37.60497289,127.0505855,02-6925-5011,성북구립미술관,,,10:00,18:00,10:00,18:00,일+월,0,0,0,,,,02-6925-5011,성북구립미술관,2023-10-10,1371000,문화체육관광부,성북구
7,성북예술창작터(성북구립미술관 분관),공립,서울특별시 성북구 성북로 23,,37.59005225,127.004123,02-6925-5011,성북구립미술관,,,10:00,18:00,10:00,18:00,일+월,0,0,0,,,,02-6925-5011,성북구립미술관,2023-10-10,1371000,문화체육관광부,성북구
8,종로구립 고희동미술관,공립,서울특별시 종로구 창덕궁5길 40,,37.58318236,126.9889528,02-741-8424,종로문화재단,,,10:00,18:00,10:00,18:00,"월(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)+1월1일+추석및설날 당일",0,0,0,,,,02-741-8424,종로문화재단,2023-10-10,1371000,문화체육관광부,종로구
9,종로구립 박노수미술관,공립,서울특별시 종로구 옥인1길 34,,37.5813192,126.9668185,02-2148-4171,종로문화재단,,,10:00,18:00,10:00,18:00,"월(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)+1월1일+설날 및 추석당일",0,0,0,특별전시입장료-일반(3000)+특별전시입장료-초등학생(1200)+특별전시입장료-청소년(1800)+특별전시입장료-19~25세(1800 (19~24세 1800원 25세~ 3000원)),,,02-2148-4171,종로문화재단,2023-10-10,1371000,문화체육관광부,종로구
10,국립현대미술관(서울관),국립,서울특별시 종로구 삼청로 30,,37.57862803,126.980088,02-3701-9500,국립현대미술관,,,10:00,18:00,10:00,18:00,"(관람시간 월, 화, 목, 금, 일 10:00-18:00/수, 토: 10:00-21:00)+1월1일+설날 및 추석 당일",0,0,0,특별전시입장료-일반(4000(통합권)),,,02-3701-9500,국립현대미술관,2023-10-10,1371000,문화체육관광부,종로구
11,국립현대미술관(덕수궁관),국립,서울특별시 중구 세종대로 99,,37.56616815,126.9739116,02-2022-0600,국립현대미술관,,,10:00,18:00,10:00,18:00,"(관람시간 화, 목, 금, 일 10:00-18:00/수, 토: 10:00-21:00)+월(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)+1월1일",0,0,0,특별전시입장료-일반(기획전시별 별도 책정(2000원~3000원 수준),,,02-2022-0600,국립현대미술관,2023-10-10,1371000,문화체육관광부,중구
12,국립현대미술관(서울관),국립,서울특별시 종로구 삼청로 30,,37.57862929,126.9800889,02-3701-9500,국립현대미술관(서울관),http://www.mmca.go.kr/main.do,,10:00,18:00,10:00,18:00,1.1+설날연휴+추석연휴,0,0,0,전시마다 상이,,,02-3701-9500,국립현대미술관(서울관),2022-07-06,3000000,서울특별시 종로구,종로구
13,예송미술관,공립,서울특별시 송파구 백제고분로 242,서울특별시 송파구 삼전동 62-2,37.50235785,127.0934902,02-2147-2810,서울특별시 송파구청,http://www.songpa.go.kr,미술관,10:00,18:00,0:00,0:00,일+법정공휴일,0,0,0,,송파구민들에게 수준 높은 문화향유의 기회를 제공하기 위하여 다채로운 기획전시 및 송파에서 활동하는 시각예술가들의 창작활동을 지원하고 있습니다.,2호선 종합운동장 4번출구 : 350+3314+3417+34182호선 잠실역 5번출구 : 3314+33158호선 석촌역 7번출구 : 340+350+3012,02-2147-2810,서울특별시 송파구청,2023-01-11,3230000,서울특별시 송파구,송파구
14,겸재정선미술관,공립,서울특별시 강서구 양천로47길 36,서울특별시 강서구 가양동 243-1,37.57222423,126.8384111,02-2659-2206,서울특별시 강서문화원,https://culture.gangseo.seoul.kr/,주차장(26대)+카페테리아+뮤지엄샵+수유실+자전거보관대,10:00,18:00,10:00,17:00,매주 월요일+신정+설+추석,1000,500,500,1. 무료: 만6세이하+만65세이상+국가·독립유공자 등+장애인+다둥이행복카드소지자 2. 통합관람(겸재정선미술관+허준박물관): 어른(개인 1300원+단체 1000원) / 청소년(개인 700원+단체 500원),겸재정선미술관은 진경산수화풍을 완성한 겸재 정선(1676~1759)의 위대한 예술적 업적을 기리고 진경문화를 계승·발전시키고자 2009.4.23. 건립되었음,지하철9호선 양천향교역 1번출구→마을버스 강서06 탑승하여겸재정선미술관 앞 하차,02-2600-6154,서울특별시 강서구청,2024-03-06,3150000,서울특별시 강서구,강서구
15,서울시립 남서울미술관,공립,서울특별시 관악구 남부순환로 2076,서울특별시 관악구 남현동 1059-13,37.47605354,126.9794659,02-598-6247,서울특별시청,http://sema.seoul.go.kr/kr/visit/namseoul,,10:00,20:00,10:00,18:00,월+1월1일,0,0,0,,,,02-879-5602,서울특별시 관악구청,2023-10-15,3200000,서울특별시 관악구,관악구
